Text,Word_List
"""A barber is a person. a barber is good person. a barber is huge person. he Knew A Secret! The Secret He Kept is huge secret. Huge secret. His barber kept his word. a barber kept his word. His barber kept his secret. But keeping and keeping such a huge secret to himself was driving the barber crazy. the barber went up a huge mountain.""","barber,person"
,"barber,good,person"
,"barber,huge,person"
,"knew,secret"
,"secret,kept,huge,secret"
,"huge,secret"
,"barber,kept,word"
,"barber,kept,word"
,"barber,kept,secret"
,"keeping,keeping,huge,secret,driving,barber,crazy"
,"barber,went,huge,mountain"
